window,timestamp_clock,rf_label,sgd_label,agreement,confidence,cumulative_agreement_pct
251,21:17:56,Quiet / Rest,Quiet / Rest,True,,70.66
252,21:19:38,Quiet / Rest,Quiet / Rest,True,,70.78
253,21:20:47,Wake / Active,Wake / Active,True,0.7711,70.9
254,21:22:02,Wake / Active,Quiet / Rest,False,0.6389,70.61
255,21:23:14,Wake / Active,Wake / Active,True,,70.73
256,21:24:27,Wake / Active,Wake / Active,True,,70.85
257,21:25:36,Wake / Active,Quiet / Rest,False,0.7244,70.56
258,21:26:42,Quiet / Rest,Wake / Active,False,,70.28
259,21:27:46,Quiet / Rest,Quiet / Rest,True,0.9366,70.4
260,21:28:56,Wake / Active,Wake / Active,True,,70.52
261,21:30:00,Wake / Active,Wake / Active,True,,70.63
262,21:31:26,Wake / Active,Wake / Active,True,,70.75
263,21:32:49,Quiet / Rest,Quiet / Rest,True,,70.87
264,21:34:33,Quiet / Rest,Wake / Active,False,,70.59
265,21:35:59,Wake / Active,Wake / Active,True,0.8489,70.7
266,21:37:29,Wake / Active,Wake / Active,True,,70.82
267,21:39:18,Quiet / Rest,Quiet / Rest,True,,70.93
268,21:41:08,Possible Sleep,Quiet / Rest,False,0.9333,70.66
269,21:42:33,Wake / Active,Wake / Active,True,,70.77
270,21:43:58,Wake / Active,Wake / Active,True,,70.88
271,21:45:01,Wake / Active,Wake / Active,True,,70.99
272,21:46:10,Wake / Active,Wake / Active,True,,71.1
273,21:47:26,Wake / Active,Wake / Active,True,,71.21
274,21:48:48,Wake / Active,Wake / Active,True,,71.32
275,21:50:10,Quiet / Rest,Wake / Active,False,,71.05
276,21:52:25,Quiet / Rest,Wake / Active,False,,70.79
277,21:53:35,Wake / Active,Wake / Active,True,,70.9
278,21:54:47,Quiet / Rest,Quiet / Rest,True,,71.0
279,21:56:20,Wake / Active,Wake / Active,True,,71.11
280,21:57:55,Wake / Active,Wake / Active,True,,71.22
281,21:59:10,Wake / Active,Wake / Active,True,,71.32
282,22:00:51,Wake / Active,Quiet / Rest,False,,71.06
283,22:02:04,Wake / Active,Quiet / Rest,False,,70.8
284,22:03:12,Quiet / Rest,Quiet / Rest,True,,70.91
285,22:04:36,Quiet / Rest,Wake / Active,False,,70.65
286,22:05:53,Wake / Active,Quiet / Rest,False,,70.4
287,22:06:59,Quiet / Rest,Quiet / Rest,True,,70.5
288,22:08:22,Quiet / Rest,Quiet / Rest,True,,70.61
289,22:09:47,Wake / Active,Wake / Active,True,,70.71
290,22:10:56,Quiet / Rest,Quiet / Rest,True,,70.82
291,22:12:39,Wake / Active,Wake / Active,True,,70.92
292,22:13:58,Wake / Active,Wake / Active,True,,71.02
293,22:15:13,Wake / Active,Wake / Active,True,,71.13
294,22:16:30,Quiet / Rest,Wake / Active,False,0.9133,70.88
295,22:17:54,Wake / Active,Wake / Active,True,,70.98
296,22:19:59,Wake / Active,Wake / Active,True,,71.08
297,22:21:05,Quiet / Rest,Quiet / Rest,True,,71.18
298,22:22:09,Quiet / Rest,Quiet / Rest,True,,71.28
299,22:23:13,Quiet / Rest,Quiet / Rest,True,0.8878,71.38
300,22:24:23,Quiet / Rest,Quiet / Rest,True,0.8678,71.48
301,22:25:27,Quiet / Rest,Quiet / Rest,True,0.8244,71.58
302,22:26:50,Wake / Active,Wake / Active,True,,71.67
303,22:28:02,Wake / Active,Wake / Active,True,,71.77
304,22:29:07,Quiet / Rest,Quiet / Rest,True,,71.86
305,22:30:15,Wake / Active,Wake / Active,True,,71.96
306,22:31:21,Wake / Active,Wake / Active,True,,72.05
307,22:32:53,Wake / Active,Wake / Active,True,,72.15
308,22:34:05,Quiet / Rest,Quiet / Rest,True,,72.24
309,22:35:35,Quiet / Rest,Quiet / Rest,True,,72.33
310,22:36:40,Wake / Active,Quiet / Rest,False,0.5767,72.09
311,22:37:45,Quiet / Rest,Quiet / Rest,True,0.9222,72.19
312,22:38:56,Quiet / Rest,Wake / Active,False,,71.95
313,22:40:13,Wake / Active,Quiet / Rest,False,,71.71
314,22:41:47,Quiet / Rest,Wake / Active,False,,71.48
315,22:43:33,Wake / Active,Wake / Active,True,,71.57
316,22:44:39,Quiet / Rest,Quiet / Rest,True,,71.66
317,22:45:52,Quiet / Rest,Quiet / Rest,True,,71.75
318,22:47:17,Wake / Active,Wake / Active,True,,71.84
319,22:48:32,Wake / Active,Wake / Active,True,,71.94
320,22:49:47,Possible Sleep,Quiet / Rest,False,,71.7
321,22:51:24,Quiet / Rest,Possible Sleep,False,,71.47
322,22:53:30,Quiet / Rest,Quiet / Rest,True,,71.57
323,22:55:19,Quiet / Rest,Quiet / Rest,True,,71.66
324,22:57:03,Quiet / Rest,Quiet / Rest,True,,71.75
325,22:58:19,Wake / Active,Wake / Active,True,,71.84
326,22:59:44,Wake / Active,Wake / Active,True,,71.92
327,23:00:53,Wake / Active,Wake / Active,True,,72.01
328,23:02:03,Wake / Active,Quiet / Rest,False,,71.79
329,23:04:01,Wake / Active,Wake / Active,True,,71.88
330,23:05:21,Quiet / Rest,Wake / Active,False,,71.65
331,23:06:52,Quiet / Rest,Quiet / Rest,True,,71.74
332,23:08:26,Quiet / Rest,Wake / Active,False,0.9078,71.52
333,23:10:02,Wake / Active,Wake / Active,True,0.8456,71.6
334,23:11:52,Wake / Active,Wake / Active,True,,71.69
335,23:14:46,Wake / Active,Wake / Active,True,,71.78
336,23:17:04,Wake / Active,Quiet / Rest,False,,71.56
337,23:18:33,Wake / Active,Wake / Active,True,,71.65
338,23:20:22,Quiet / Rest,Wake / Active,False,,71.43
339,23:22:02,Wake / Active,Wake / Active,True,,71.52
340,23:23:07,Wake / Active,Wake / Active,True,,71.6
341,23:24:20,Wake / Active,Wake / Active,True,,71.69
342,23:26:09,Quiet / Rest,Quiet / Rest,True,,71.77
343,23:28:15,Wake / Active,Wake / Active,True,,71.86
344,23:29:51,Wake / Active,Wake / Active,True,,71.94
345,23:31:27,Possible Sleep,Quiet / Rest,False,,71.73
346,23:32:36,Quiet / Rest,Quiet / Rest,True,,71.81
347,23:33:57,Wake / Active,Quiet / Rest,False,0.7167,71.6
348,23:35:23,Wake / Active,Wake / Active,True,,71.68
349,23:36:53,Wake / Active,Wake / Active,True,,71.76
350,23:38:06,Quiet / Rest,Wake / Active,False,,71.55
351,23:39:15,Wake / Active,Quiet / Rest,False,1.0,71.35
352,23:40:21,Quiet / Rest,Quiet / Rest,True,,71.43
353,23:42:47,Quiet / Rest,Wake / Active,False,,71.22
354,23:44:07,Quiet / Rest,Quiet / Rest,True,0.8533,71.3
355,23:45:19,Quiet / Rest,Quiet / Rest,True,,71.39
356,23:47:02,Quiet / Rest,Quiet / Rest,True,,71.47
357,23:48:49,Quiet / Rest,Quiet / Rest,True,,71.55
358,23:50:21,Quiet / Rest,Quiet / Rest,True,,71.63
359,23:52:13,Quiet / Rest,Quiet / Rest,True,,71.71
360,23:56:17,Quiet / Rest,Quiet / Rest,True,0.9689,71.79
361,23:58:43,Quiet / Rest,Quiet / Rest,True,,71.88
362,00:00:27,Quiet / Rest,Quiet / Rest,True,,71.95
363,01:04:26,Possible Sleep,Quiet / Rest,False,,71.75
364,01:06:54,Wake / Active,Wake / Active,True,,71.83
365,01:08:12,Wake / Active,Wake / Active,True,,71.91
366,01:09:47,Wake / Active,Wake / Active,True,,71.99
367,01:10:57,Wake / Active,Wake / Active,True,,72.07
368,01:12:10,Wake / Active,Wake / Active,True,,72.14
369,01:14:19,Wake / Active,Wake / Active,True,,72.22
370,01:15:30,Wake / Active,Wake / Active,True,,72.3
371,01:16:41,Quiet / Rest,Wake / Active,False,,72.1
372,01:18:03,Quiet / Rest,Quiet / Rest,True,,72.18
373,01:20:08,Wake / Active,Wake / Active,True,,72.25
374,01:21:13,Wake / Active,Quiet / Rest,False,0.8567,72.05
375,01:23:37,Wake / Active,Wake / Active,True,0.9556,72.13
376,01:24:49,Wake / Active,Wake / Active,True,,72.21
377,01:25:58,Wake / Active,Wake / Active,True,,72.28
378,01:27:13,Wake / Active,Quiet / Rest,False,0.79,72.09
379,01:28:28,Wake / Active,Wake / Active,True,,72.16
380,01:29:52,Wake / Active,Wake / Active,True,0.7422,72.24
381,01:31:02,Wake / Active,Wake / Active,True,,72.31
382,01:32:13,Wake / Active,Wake / Active,True,,72.39
383,01:33:21,Wake / Active,Wake / Active,True,,72.46
384,01:34:30,Wake / Active,Wake / Active,True,,72.53
385,01:35:56,Wake / Active,Wake / Active,True,0.6633,72.61
386,01:37:23,Wake / Active,Wake / Active,True,,72.68
387,01:38:55,Wake / Active,Wake / Active,True,,72.75
388,01:40:07,Wake / Active,Quiet / Rest,False,,72.56
389,01:41:50,Possible Sleep,Quiet / Rest,False,,72.37
390,01:44:20,Wake / Active,Possible Sleep,False,0.5267,72.18
391,01:45:31,Wake / Active,Wake / Active,True,,72.25
392,01:46:47,Wake / Active,Wake / Active,True,,72.32
393,01:48:34,Quiet / Rest,Quiet / Rest,True,,72.4
394,01:50:17,Quiet / Rest,Quiet / Rest,True,,72.47
395,01:51:50,Possible Sleep,Quiet / Rest,False,,72.28
396,01:53:17,Wake / Active,Wake / Active,True,,72.35
397,01:54:36,Wake / Active,Wake / Active,True,,72.42
398,01:56:05,Wake / Active,Wake / Active,True,,72.49
399,01:57:25,Quiet / Rest,Quiet / Rest,True,,72.56
400,01:58:54,Possible Sleep,Quiet / Rest,False,0.9467,72.38
401,02:00:17,Quiet / Rest,Possible Sleep,False,,72.19
402,02:01:29,Wake / Active,Wake / Active,True,0.6367,72.26
403,02:03:22,Wake / Active,Wake / Active,True,,72.34
404,02:04:44,Wake / Active,Wake / Active,True,,72.41
405,02:07:26,Wake / Active,Wake / Active,True,,72.47
