window_start_frame,window_end_frame,dominant_state,total_distance_px,active_frames,inactive_frames,dominant_zone,thigmotaxis_ratio,stereotypy_flag,behavior_notes
1791000,1800000,Wake / Active,16351.19,1804,1115,MidLeft,0.6437,False,
1800000,1809000,Wake / Active,13427.55,1914,769,Center,0.5088,False,
1809000,1818000,Quiet / Rest,9985.61,1573,1674,Center,0.4937,False,
1818000,1827000,Wake / Active,8565.52,1644,794,MidRight,0.8962,False,
1827000,1836000,Wake / Active,11066.36,2127,1392,MidRight,0.8068,True,
1836000,1845000,Quiet / Rest,9023.62,1353,1879,MidRight,0.9118,True,
1845000,1854000,Quiet / Rest,6528.76,707,1913,MidRight,0.6542,False,
1854000,1863000,Wake / Active,9812.0,1672,1269,Center,0.3074,False,
1863000,1872000,Wake / Active,9369.25,1960,832,MidRight,0.9244,False,
1872000,1881000,Wake / Active,8687.66,1743,1177,MidRight,0.9325,False,
1881000,1890000,Wake / Active,7635.84,1522,1126,Center,0.2443,True,
1890000,1899000,Quiet / Rest,2610.93,149,1277,Center,0.0477,False,
1899000,1908000,Quiet / Rest,241.54,28,75,Center,0.0485,False,
1908000,1917000,Wake / Active,485.38,96,79,Center,0.2914,False,
1917000,1926000,Quiet / Rest,329.02,47,90,Center,0.0438,True,
1926000,1935000,Quiet / Rest,68.4,8,24,Center,0.2188,True,
1935000,1944000,Quiet / Rest,41.96,0,27,Center,0.037,False,
1944000,1953000,Quiet / Rest,409.94,61,127,Center,0.1011,True,
1953000,1962000,Quiet / Rest,99.6,4,46,Center,0.04,False,
1962000,1971000,Quiet / Rest,107.73,6,51,MidRight,0.5614,True,
1971000,1980000,Quiet / Rest,199.38,33,47,Center,0.25,False,
1980000,1989000,Quiet / Rest,3172.92,331,1230,Center,0.0583,True,
1989000,1998000,Wake / Active,9184.33,1581,1114,Center,0.3288,True,
1998000,2007000,Wake / Active,9109.5,1565,1032,MidRight,0.6611,False,
2007000,2016000,Wake / Active,12110.04,2342,900,MidLeft,0.6453,False,
2016000,2025000,Wake / Active,10970.49,1972,1559,MidRight,0.8272,False,
2025000,2034000,Wake / Active,13107.29,2320,1501,Center,0.4745,False,
2034000,2043000,Quiet / Rest,10205.91,1480,1595,Center,0.5763,False,
2043000,2052000,Wake / Active,8375.01,1571,1099,MidRight,0.8251,False,
2052000,2061000,Wake / Active,13380.82,1910,1286,MidRight,0.5673,False,
2061000,2070000,Quiet / Rest,8078.82,1182,1337,MidRight,0.6411,False,
2070000,2079000,Quiet / Rest,4902.84,613,1673,MidRight,0.5192,False,
2079000,2088000,Quiet / Rest,5387.56,764,1652,MidRight,0.6776,True,
2088000,2097000,Wake / Active,4167.99,785,779,MidRight,0.7596,True,
2097000,2106000,Possible Sleep,975.38,10,720,MidRight,1.0,False,
2106000,2115000,Wake / Active,112.79,23,15,MidRight,1.0,False,
2115000,2124000,Quiet / Rest,64.06,2,43,MidRight,1.0,False,
2124000,2133000,Quiet / Rest,41.68,0,31,MidRight,1.0,False,
2133000,2142000,Quiet / Rest,44.37,0,27,MidRight,1.0,False,
2142000,2151000,Quiet / Rest,111.76,0,71,MidRight,1.0,False,
2151000,2160000,Quiet / Rest,31.76,0,17,MidRight,1.0,False,
2160000,2169000,Quiet / Rest,8.41,0,6,MidRight,1.0,False,
2169000,2178000,Quiet / Rest,80.91,6,34,MidRight,0.95,True,
2178000,2187000,Possible Sleep,1345.98,49,939,MidRight,0.9929,False,
2187000,2196000,Wake / Active,10379.36,1773,935,Center,0.579,False,
2196000,2205000,Wake / Active,10396.61,1850,1161,Center,0.1637,False,
2205000,2214000,Wake / Active,9348.05,1541,1312,MidRight,0.6498,False,
2214000,2223000,Wake / Active,4284.78,841,591,MidRight,0.9839,False,
2223000,2232000,Quiet / Rest,831.24,35,502,MidRight,1.0,False,
2232000,2241000,Possible Sleep,85.52,0,50,MidRight,1.0,False,
2241000,2250000,Possible Sleep,69.87,0,44,MidRight,1.0,False,
2250000,2259000,Possible Sleep,42.26,0,34,MidRight,1.0,False,
2259000,2268000,Possible Sleep,12.24,0,9,MidRight,1.0,False,
2268000,2277000,Possible Sleep,71.68,0,58,MidRight,1.0,False,
2277000,2286000,Quiet / Rest,168.41,10,86,MidRight,0.9896,False,
2286000,2295000,Quiet / Rest,56.85,0,33,MidRight,1.0,False,
2295000,2304000,Quiet / Rest,89.18,0,52,MidRight,1.0,False,
2304000,2313000,Quiet / Rest,56.07,1,37,MidRight,1.0,False,
2313000,2322000,Possible Sleep,21.46,0,18,MidRight,1.0,False,
2322000,2331000,Possible Sleep,47.09,0,31,MidRight,1.0,False,
2331000,2340000,Possible Sleep,16.76,0,11,MidRight,1.0,False,
2340000,2349000,Possible Sleep,53.81,0,35,MidRight,1.0,False,
2349000,2358000,Possible Sleep,1262.52,76,757,MidRight,1.0,False,
2358000,2367000,Possible Sleep,2554.65,284,667,MidRight,0.878,False,
2367000,2376000,Quiet / Rest,43.65,0,27,MidRight,1.0,False,
2376000,2385000,Quiet / Rest,140.03,1,86,MidRight,1.0,False,
2385000,2394000,Quiet / Rest,34.99,0,21,MidRight,1.0,False,
2394000,2403000,Quiet / Rest,70.55,0,47,MidRight,1.0,False,
2403000,2412000,Quiet / Rest,46.34,0,28,MidRight,1.0,False,
2412000,2421000,Quiet / Rest,217.67,26,50,MidRight,1.0,False,
2421000,2430000,Quiet / Rest,19.71,0,15,MidRight,1.0,False,
2430000,2439000,Wake / Active,76.02,15,12,MidRight,1.0,True,
2439000,2448000,Quiet / Rest,34.78,0,26,MidRight,1.0,False,
2448000,2457000,Possible Sleep,1080.63,76,622,MidRight,1.0,False,
2457000,2466000,Quiet / Rest,5438.63,608,1498,MidRight,0.9093,False,
2466000,2475000,Quiet / Rest,337.93,38,133,MidRight,1.0,True,
2475000,2484000,Quiet / Rest,25.06,0,18,MidRight,1.0,False,
2484000,2493000,Quiet / Rest,85.25,1,52,MidRight,1.0,False,
2493000,2502000,Quiet / Rest,12.89,0,9,MidRight,1.0,False,
2502000,2511000,Quiet / Rest,48.23,0,30,MidRight,1.0,False,
2511000,2520000,Quiet / Rest,32.54,0,24,MidRight,1.0,False,
2520000,2529000,Quiet / Rest,27.89,0,22,MidRight,1.0,False,
2529000,2538000,Quiet / Rest,1.41,0,2,MidRight,1.0,False,
2538000,2547000,Quiet / Rest,60.77,0,42,MidRight,1.0,False,
2547000,2556000,Possible Sleep,755.17,8,531,MidRight,1.0,False,
